Storage: persist_data_db
Data	Execution time
1	0,014587
10	0,014673
20	0,011575
30	0,011502
40	0,011599
50	0,011590
60	0,011645
70	0,011791
80	0,011856
90	0,016900
100	0,018161
110	0,017512
120	0,017314
130	0,017420
140	0,017628
150	0,017784
160	0,017802
170	0,017999
180	0,018263
190	0,014995
200	0,014809
210	0,014947
220	0,014898
230	0,019252
240	0,019489
250	0,019482
260	0,019778
270	0,019818
280	0,019896
290	0,019959
300	0,020246
310	0,020713
320	0,020741
330	0,020976
340	0,021545
350	0,021486
360	0,021481
370	0,021542
380	0,021703
390	0,022294
400	0,023883
410	0,025376
420	0,025925
430	0,022946
440	0,024688
450	0,026481
460	0,023621
470	0,023531
480	0,023743
490	0,023948
500	0,024205
510	0,024280
520	0,025016
530	0,026837
540	0,028138
550	0,026660
560	0,025417
570	0,025333
580	0,028728
590	0,028920
600	0,025844
610	0,026379
620	0,026550
630	0,029440
640	0,030693
650	0,027046
660	0,027412
670	0,027384
680	0,027379
690	0,027936
700	0,027916
710	0,028115
720	0,027944
730	0,028348
740	0,028616
750	0,028882
760	0,028939
770	0,029135
780	0,029311
790	0,029352
800	0,029737
810	0,029965
820	0,030057
830	0,030446
840	0,030548
850	0,032514
860	0,030726
870	0,031217
880	0,031355
890	0,031296
900	0,031622
910	0,031596
920	0,040444
930	0,032064
940	0,032375
950	0,032371
960	0,032413
970	0,032914
980	0,033101
990	0,033004
1000	0,033557
1010	0,033519
1020	0,033944
1030	0,033731
1040	0,033646
1050	0,034347
1060	0,034405
1070	0,034663
1080	0,034480
1090	0,034946
1100	0,035203
1110	0,047344
1120	0,035400
1130	0,028375
1140	0,035826
1150	0,035831
1160	0,035728
1170	0,036579
1180	0,036448
1190	0,035314
1200	0,036619
1210	0,036540
1220	0,036885
1230	0,036975
1240	0,037112
1250	0,037654
1260	0,038101
1270	0,036407
1280	0,037442
1290	0,038497
1300	0,038231
1310	0,037198
1320	0,038552
1330	0,037770
1340	0,038672
1350	0,038066
1360	0,037308
1370	0,039542
1380	0,039448
1390	0,038908
1400	0,039016
1410	0,039683
1420	0,040004
1430	0,039012
1440	0,039449
1450	0,045417
1460	0,039875
1470	0,038764
1480	0,039009
1490	0,038065
1500	0,038592
1510	0,038800
1520	0,026973
1530	0,041674
1540	0,041790
1550	0,041673
1560	0,037642
1570	0,041236
1580	0,041749
1590	0,039105
1600	0,041432
1610	0,040005
1620	0,036501
1630	0,040880
1640	0,042347
1650	0,041420
1660	0,051541
1670	0,042856
1680	0,042618
1690	0,034909
1700	0,034508
1710	0,041928
1720	0,042553
1730	0,040818
1740	0,040524
1750	0,040216
1760	0,039734
1770	0,041523
1780	0,041157
1790	0,041094
1800	0,043185
1810	0,039839
1820	0,039419
1830	0,039019
1840	0,042787
1850	0,039744
1860	0,038676
1870	0,022636
1880	0,036513
1890	0,045637
1900	0,041790
1910	0,039661
1920	0,042391
1930	0,041903
1940	0,041959
1950	0,040771
1960	0,039155
1970	0,046388
1980	0,045749
1990	0,045579
2000	0,044766
2010	0,038179
2020	0,040408
2030	0,058852
2040	0,056863
2050	0,046556
2060	0,046689
2070	0,047017
2080	0,056551
2090	0,048974
2100	0,046355
2110	0,042350
2120	0,042735
2130	0,046309
2140	0,044721
2150	0,036019
2160	0,046654
2170	0,047573
2180	0,040090
2190	0,045976
2200	0,040331
2210	0,046733
2220	0,048015
2230	0,040301
2240	0,039735
2250	0,047200
2260	0,044012
2270	0,039034
2280	0,036234
2290	0,047690
2300	0,042703
2310	0,036132
2320	0,049249
2330	0,048521
2340	0,037744
2350	0,043477
2360	0,040964
2370	0,038743
2380	0,046407
2390	0,045922
2400	0,039654
2410	0,048445
2420	0,041339
2430	0,042743
2440	0,043068
2450	0,050300
2460	0,045044
2470	0,050162
2480	0,050713
2490	0,040448
2500	0,050238
2510	0,049530
2520	0,042505
2530	0,043527
2540	0,050946
2550	0,040530
2560	0,032000
2570	0,048821
2580	0,050836
2590	0,042342
2600	0,045041
2610	0,044626
2620	0,050581
2630	0,051438
2640	0,048225
2650	0,051331
2660	0,051272
2670	0,051375
2680	0,038684
2690	0,044422
2700	0,048363
2710	0,050588
2720	0,050878
2730	0,033981
2740	0,041947
2750	0,050302
2760	0,051351
2770	0,051828
2780	0,037360
2790	0,051878
2800	0,051140
2810	0,045212
2820	0,051231
2830	0,052771
2840	0,051654
2850	0,053376
2860	0,050111
2870	0,045740
2880	0,052256
2890	0,052497
2900	0,038327
2910	0,046283
2920	0,051649
2930	0,039542
2940	0,053202
2950	0,036917
2960	0,045815
2970	0,041294
2980	0,053445
2990	0,055060
3000	0,047322
3010	0,045384
3020	0,043131
3030	0,054856
3040	0,038422
3050	0,038976
3060	0,041198
3070	0,036864
3080	0,035491
3090	0,055157
3100	0,040854
3110	0,053362
3120	0,035119
3130	0,054126
3140	0,036056
3150	0,054785
3160	0,053877
3170	0,034210
3180	0,053707
3190	0,046524
3200	0,044621
3210	0,054342
3220	0,044250
3230	0,038567
3240	0,055928
3250	0,055946
3260	0,053940
3270	0,038893
3280	0,051982
3290	0,052967
3300	0,042983
3310	0,051013
3320	0,039435
3330	0,043379
3340	0,039290
3350	0,052870
3360	0,050600
3370	0,055804
3380	0,046841
3390	0,055693
3400	0,048485
3410	0,041212
3420	0,040482
3430	0,054884
3440	0,037314
3450	0,056877
3460	0,056399
3470	0,049681
3480	0,043850
3490	0,040047
3500	0,037565
3510	0,056981
3520	0,034040
3530	0,055987
3540	0,045213
3550	0,057373
3560	0,041353
3570	0,055962
3580	0,056420
3590	0,041338
3600	0,033782
3610	0,056142
3620	0,057742
3630	0,055766
3640	0,057419
3650	0,057066
3660	0,068382
3670	0,057242
3680	0,055888
3690	0,042516
3700	0,040203
3710	0,041162
3720	0,041869
3730	0,042826
3740	0,056368
3750	0,056965
3760	0,056569
3770	0,039483
3780	0,037530
3790	0,056832
3800	0,037833
3810	0,035925
3820	0,053618
3830	0,044598
3840	0,045415
3850	0,047158
3860	0,038881
3870	0,038554
3880	0,054483
3890	0,058240
3900	0,038999
3910	0,045840
3920	0,040219
3930	0,048402
3940	0,055823
3950	0,046287
3960	0,039229
3970	0,039745
3980	0,057899
3990	0,058537
4000	0,051847
4010	0,043632
4020	0,041485
4030	0,054529
4040	0,038085
4050	0,056157
4060	0,058564
4070	0,059816
4080	0,055764
4090	0,047410
4100	0,052245
4110	0,044407
4120	0,057633
4130	0,043434
4140	0,042467
4150	0,041978
4160	0,037514
4170	0,048388
4180	0,053113
4190	0,036754
4200	0,054342
4210	0,055117
4220	0,046134
4230	0,057253
4240	0,049407
4250	0,051519
4260	0,060126
4270	0,053361
4280	0,057294
4290	0,046170
4300	0,041703
4310	0,064342
4320	0,043158
4330	0,056563
4340	0,063005
4350	0,059168
4360	0,046448
4370	0,058076
4380	0,037508
4390	0,034033
4400	0,049626
4410	0,044529
4420	0,060912
4430	0,061896
4440	0,062148
4450	0,060568
4460	0,029179
4470	0,061931
4480	0,055895
4490	0,041254
4500	0,063309
4510	0,061971
4520	0,038954
4530	0,053161
4540	0,041964
4550	0,061870
4560	0,057683
4570	0,050630
4580	0,053824
4590	0,061594
4600	0,051963
4610	0,062502
4620	0,063011
4630	0,062407
4640	0,062241
4650	0,063017
4660	0,063024
4670	0,062390
4680	0,063066
4690	0,062633
4700	0,040860
4710	0,061700
4720	0,039841
4730	0,076305
4740	0,056073
4750	0,037410
4760	0,039279
4770	0,041144
4780	0,038121
4790	0,039374
4800	0,038398
4810	0,040063
4820	0,056030
4830	0,060361
4840	0,037632
4850	0,039347
4860	0,062286
4870	0,037696
4880	0,042052
4890	0,048013
4900	0,042017
4910	0,051034
4920	0,047137
4930	0,057175
4940	0,039188
4950	0,062886
4960	0,047254
4970	0,037292
4980	0,064826
4990	0,064101
5000	0,066032

Storage: persist_data_filesystem
Data	Execution time
1	0,000509
10	0,002034
20	0,003696
30	0,005198
40	0,006985
50	0,008359
60	0,007327
70	0,006462
80	0,003876
90	0,002782
100	0,004502
110	0,006199
120	0,003688
130	0,006326
140	0,004233
150	0,004590
160	0,004887
170	0,005450
180	0,005535
190	0,006106
200	0,005948
210	0,006324
220	0,006848
230	0,007104
240	0,007275
250	0,007548
260	0,007832
270	0,008130
280	0,008229
290	0,008627
300	0,008597
310	0,009310
320	0,009526
330	0,009761
340	0,009808
350	0,010283
360	0,010733
370	0,011029
380	0,011314
390	0,011288
400	0,011944
410	0,012242
420	0,012490
430	0,012836
440	0,013129
450	0,013439
460	0,013941
470	0,014260
480	0,014618
490	0,014917
500	0,015153
510	0,015522
520	0,015796
530	0,016066
540	0,016325
550	0,016677
560	0,017015
570	0,017373
580	0,017614
590	0,017242
600	0,018152
610	0,018444
620	0,018802
630	0,019483
640	0,019348
650	0,019770
660	0,019948
670	0,020290
680	0,020558
690	0,020735
700	0,021206
710	0,021491
720	0,021193
730	0,022119
740	0,022382
750	0,022718
760	0,023176
770	0,023375
780	0,022893
790	0,023998
800	0,024241
810	0,024494
820	0,024920
830	0,025177
840	0,025576
850	0,025874
860	0,026138
870	0,026062
880	0,026367
890	0,026525
900	0,027042
910	0,027200
920	0,027657
930	0,027337
940	0,028079
950	0,028303
960	0,028577
970	0,029508
980	0,028785
990	0,030051
1000	0,029461
1010	0,029868
1020	0,030151
1030	0,031005
1040	0,031479
1050	0,031864
1060	0,032056
1070	0,032308
1080	0,032082
1090	0,032530
1100	0,032128
1110	0,032012
1120	0,032374
1130	0,032611
1140	0,032955
1150	0,033202
1160	0,034597
1170	0,033839
1180	0,034100
1190	0,034293
1200	0,034659
1210	0,034972
1220	0,035273
1230	0,035486
1240	0,035834
1250	0,036107
1260	0,036552
1270	0,036749
1280	0,037004
1290	0,037262
1300	0,037609
1310	0,038683
1320	0,038938
1330	0,039338
1340	0,039664
1350	0,039780
1360	0,040090
1370	0,040446
1380	0,040842
1390	0,041231
1400	0,041095
1410	0,041490
1420	0,042603
1430	0,042552
1440	0,043047
1450	0,042838
1460	0,043472
1470	0,044144
1480	0,044367
1490	0,044630
1500	0,044581
1510	0,044165
1520	0,045044
1530	0,045299
1540	0,045563
1550	0,045837
1560	0,046060
1570	0,046632
1580	0,046913
1590	0,046273
1600	0,046452
1610	0,046869
1620	0,047158
1630	0,047288
1640	0,047674
1650	0,047612
1660	0,047646
1670	0,047934
1680	0,048335
1690	0,049057
1700	0,049350
1710	0,049565
1720	0,049917
1730	0,050382
1740	0,052120
1750	0,052491
1760	0,052921
1770	0,053174
1780	0,053336
1790	0,053653
1800	0,053626
1810	0,052632
1820	0,052818
1830	0,053017
1840	0,053433
1850	0,053630
1860	0,053508
1870	0,054736
1880	0,053992
1890	0,054395
1900	0,054548
1910	0,054641
1920	0,055697
1930	0,056045
1940	0,056183
1950	0,056545
1960	0,057025
1970	0,059835
1980	0,060301
1990	0,060213
2000	0,060657
2010	0,061263
2020	0,061568
2030	0,061662
2040	0,062060
2050	0,062302
2060	0,062599
2070	0,062659
2080	0,063264
2090	0,063529
2100	0,064141
2110	0,064028
2120	0,062429
2130	0,064781
2140	0,065152
2150	0,065355
2160	0,063367
2170	0,062997
2180	0,063271
2190	0,063542
2200	0,064055
2210	0,064019
2220	0,064193
2230	0,064814
2240	0,065122
2250	0,065476
2260	0,066079
2270	0,066292
2280	0,066249
2290	0,067876
2300	0,069198
2310	0,070384
2320	0,070581
2330	0,070059
2340	0,069640
2350	0,069857
2360	0,070230
2370	0,072635
2380	0,070168
2390	0,071515
2400	0,070786
2410	0,071148
2420	0,071268
2430	0,071732
2440	0,072061
2450	0,072266
2460	0,074011
2470	0,074136
2480	0,074199
2490	0,073417
2500	0,073727
2510	0,073939
2520	0,074563
2530	0,075917
2540	0,076479
2550	0,076570
2560	0,076856
2570	0,077527
2580	0,078579
2590	0,078841
2600	0,079070
2610	0,077100
2620	0,078516
2630	0,078887
2640	0,079324
2650	0,079306
2660	0,079840
2670	0,080302
2680	0,080318
2690	0,080915
2700	0,081272
2710	0,082167
2720	0,082810
2730	0,080702
2740	0,080938
2750	0,080972
2760	0,080698
2770	0,081163
2780	0,082556
2790	0,082805
2800	0,083037
2810	0,083314
2820	0,083746
2830	0,083888
2840	0,085661
2850	0,085851
2860	0,085609
2870	0,086429
2880	0,086832
2890	0,087057
2900	0,087399
2910	0,087383
2920	0,087875
2930	0,087249
2940	0,088812
2950	0,088259
2960	0,089142
2970	0,089311
2980	0,089493
2990	0,091366
3000	0,091654
3010	0,091386
3020	0,092168
3030	0,091476
3040	0,070822
3050	0,071534
3060	0,090598
3070	0,090834
3080	0,090897
3090	0,091322
3100	0,094686
3110	0,090826
3120	0,091828
3130	0,092865
3140	0,093569
3150	0,093180
3160	0,093543
3170	0,093677
3180	0,094121
3190	0,094754
3200	0,094360
3210	0,094426
3220	0,095251
3230	0,095694
3240	0,097289
3250	0,097722
3260	0,098480
3270	0,099068
3280	0,098963
3290	0,099477
3300	0,099667
3310	0,099500
3320	0,099762
3330	0,100026
3340	0,100115
3350	0,100777
3360	0,101011
3370	0,099362
3380	0,099932
3390	0,103648
3400	0,100578
3410	0,079453
3420	0,101138
3430	0,101375
3440	0,101473
3450	0,101788
3460	0,102153
3470	0,102246
3480	0,102902
3490	0,102880
3500	0,103689
3510	0,105567
3520	0,105855
3530	0,106175
